Quaywall nr,leeftijd,geometrie,rak,rakdeel,aantasting houten palen,aantasting houten palen score1,beschadigde kesp,beschadigde kesp score3,beschadigde paal-kesp/paal-vloer,paal-kesp/paal-vloer score4,risicoscore specialist
GDK0202-B,139.0,"LINESTRING (121896.70904467205 487384.3634748668, 121894.80753841597 487378.1718835561)",GDK0202,B,100.0,4.0,29.0,2.0,0.0,1.0,6.0
HEG0101-B,120.0,"LINESTRING (121128.10867186569 487795.33175850124, 121129.263 487797.171, 121134.574999999 487807.063000001, 121138.392999999 487813.605999999, 121227.86527594461 487971.00874641904)",HEG0101,B,82.0,4.0,86.0,4.0,3.0,1.0,9.0
HEG0602-B,120.0,"LINESTRING (120930.80191592444 486916.6175416799, 120930.528999999 486912.02, 120930.35185001734 486908.29985034314)",HEG0602,B,17.0,2.0,13.0,2.0,25.0,2.0,4.0
HEG0602-E,120.0,"LINESTRING (120929.91274097221 486900.0014898009, 120929.423999999 486890.997000001, 120929.384 486890.670000002, 120929.340999998 486890.486000001, 120929.284000002 486890.304000001, 120929.214000002 486890.127999999, 120929.131000001 486889.958000001, 120929.035 486889.794, 120928.927000001 486889.638)",HEG0602,E,100.0,4.0,25.0,2.0,13.0,2.0,4.0
HEG0801-A,120.0,"LINESTRING (121307.725000001 486471.802999999, 121307.748 486471.903999999, 121269.32986955979 486480.6289476864)",HEG0801,A,67.0,4.0,100.0,4.0,6.0,1.0,8.0
HEG0801-C,118.0,"LINESTRING (121201.0857613077 486496.20879410487, 121172.806000002 486502.719000001, 121170.38843137785 486503.27448038873)",HEG0801,C,33.0,3.0,100.0,4.0,31.0,3.0,8.0
HEG0801-E,120.0,"LINESTRING (121134.06734340153 486533.147094456, 121115.02055692948 486550.84511482803)",HEG0801,E,50.0,4.0,100.0,4.0,3.0,1.0,8.0
HEG0801-F,118.0,"LINESTRING (121115.02055692948 486550.84511482803, 121101.10175143066 486563.7782835614)",HEG0801,F,100.0,4.0,100.0,4.0,5.0,1.0,5.333333333333333
HEG0801-G,120.0,"LINESTRING (121101.10175143066 486563.7782835614, 121100.607000001 486564.238000002, 121082.473999999 486581.581999999, 121082.30547923686 486581.7420392486)",HEG0801,G,50.0,4.0,100.0,4.0,7.0,1.0,8.0
KBW0401-A,140.0,"LINESTRING (121548.444800001 486824.439399999, 121551.13801243453 486828.65207216615)",KBW0401,A,100.0,4.0,14.0,2.0,43.0,3.0,8.0
KBW0401-B,127.0,"LINESTRING (121551.13801243453 486828.65207216615, 121553.077 486831.684999999)",KBW0401,B,100.0,4.0,14.0,2.0,43.0,3.0,6.666666666666667
KPG0202-A,120.0,"LINESTRING (121035.201000001 488214.912, 121037.030999999 488214.971000001, 121041.221000001 488217.090999998, 121043.64113723185 488221.4356729215)",KPG0202,A,100.0,4.0,78.0,4.0,33.0,3.0,7.0
KPG0202-C,120.0,"LINESTRING (121044.78471917017 488223.4886513311, 121067.693 488264.614)",KPG0202,C,83.0,4.0,100.0,4.0,86.0,4.0,10.666666666666666
KZG0101-A,100.0,"LINESTRING (120993.804000001 487866.425999999, 120993.759 487866.839000002, 120993.758000001 487867.254999999, 120993.800000001 487867.668000001, 120993.884 487868.074999999, 120994.010000002 487868.471000001, 120994.175999999 487868.852000002, 120994.309 487869.094999999, 120998.910999998 487876.890999999, 121000.49334839331 487879.64558130776)",KZG0101,A,83.0,4.0,100.0,4.0,25.0,2.0,9.0
KZG0101-C,100.0,"LINESTRING (121010.95839942974 487897.8522452054, 121015.800999999 487906.261, 121021.710999999 487916.620999999, 121025.37524258633 487923.0147576309)",KZG0101,C,83.0,4.0,73.0,4.0,9.0,1.0,8.0
KZG0101-D,100.0,"LINESTRING (121025.37524258633 487923.0147576309, 121033.82814764878 487937.7642795216)",KZG0101,D,33.0,3.0,8.0,1.0,15.0,2.0,6.0
KZG0101-E,100.0,"LINESTRING (121033.82814764878 487937.7642795216, 121034.960999999 487939.741, 121039.771695757 487948.18896505446)",KZG0101,E,100.0,4.0,0.0,1.0,0.0,1.0,5.333333333333333
KZG0101-F,100.0,"LINESTRING (121039.771695757 487948.18896505446, 121042.74075030148 487953.4028614009)",KZG0101,F,100.0,4.0,0.0,1.0,0.0,1.0,6.0
KZG0101-G,100.0,"LINESTRING (121042.74075030148 487953.4028614009, 121050.65822908678 487967.3065849915)",KZG0101,G,100.0,4.0,0.0,1.0,0.0,1.0,5.333333333333333
KZG0101-H,100.0,"LINESTRING (121050.65822908678 487967.3065849915, 121065.50350180922 487993.3760667239)",KZG0101,H,50.0,4.0,38.0,3.0,8.0,1.0,9.0
KZG0101-I,100.0,"LINESTRING (121065.50350180922 487993.3760667239, 121116.791000001 488083.441)",KZG0101,I,88.0,4.0,64.0,4.0,7.0,1.0,6.0
KZG0202-B,120.0,"LINESTRING (120991.9043500051 487809.54157604877, 120984.660999998 487796.941, 120975 487780.046, 120974.00537088944 487778.3065806525)",KZG0202,B,86.0,4.0,100.0,4.0,50.0,4.0,7.0
KZG0202-C,120.0,"LINESTRING (120974.00537088944 487778.3065806525, 120968.04865557232 487767.8894052853)",KZG0202,C,100.0,4.0,100.0,4.0,40.0,3.0,6.0
